id,title,country,charity_types_id,logo_type,logo_upload,banner_link,banner_type,banner_upload,banner_link,description,status,created_at,updated_at"
81,Aspiring Heads,0,0,upload,resources/upload/images/2586767907015693591657712030.jpg,NULL,upload,resources/upload/images/24796832812698271101657712027.jpg,NULL,"Website: <a href=https://aspiringheads.com/>Aspiring Heads</a><p>Charity Type: Education<p>UK Registered Charity Number: 12754159<p><br>Aspiring Heads passionately works towards addressing the lack of black representation in leadership within education in the UK. We believe this needs to be urgently redressed with currently only 1% of black headteachers in the UK compared to 96.3% white (Gov.uk, 2021). Leveling the playing field and creating greater opportunities for diverse leadership teams in schools would benefit all stakeholders, particularly the young people.<p><br>We seek to improve these levels of representation through development and awareness. By collaborating with a network of experienced senior black leaders in education, our flagship programme equips black educators via a 6-month developmental course, sharing the pitfalls and necessities of leadership, and the components that make a great headteacher. Through advocacy we raise awareness of this issue, working towards a unified vision for positive change.",1,2022-06-13 12:37:47,2022-06-13 12:37:47
82,Dope Black Dads,0,0,upload,resources/upload/images/227798799581790841658123696.jpeg,NULL,upload,resources/upload/images/211648157516486895031658123718.jpeg,NULL,"Dope Black Dads is a digital safe space for fathers who wish to discuss their experiences of being black, a parent and masculinity in the modern world.Our aim is to celebrate, heal, inspire and educate black fathers for better outcomes for black families.",1,2022-06-18 06:56:21,2022-06-18 06:56:21
83,Black History Activity Books,0,0,upload,resources/upload/images/14297780314642065591658327488.jpg,NULL,upload,resources/upload/images/184924416515693493111658327497.jpg,NULL,"Website: <a href=https://blackhistoryactivitybooks.com//>Black History Activity Books</a><p><br>We have embarked on this journey as we see a clear lack of black history taught in the education system and at home. We see family, historic and cultural values for black Caribbean’s fading away, as we assimilate into Western Culture & Lifestyle. Children, teens and young adults are suffering now more than ever from a lack of identity and self esteem in being black. From an early age we are not being taught to love ourselves, know about our greatness, history and contributions our forefathers have made to society and civilisation. We have become complacent with lack of education, wealth preservation, under representation in government institutions, victimisation, racism and deprivation. This has to stop in order for us to be taken serious on global level and in a global economy. <p><br>We Dream that one day Black people all across the world will stand proud be self sufficient with the power to control our own destiny, free from the shackles of colonial restraints mentally, emotionally and spiritually." ,1,2022-06-20 15:32:54,2022-06-20 15:32:54
84,A New Direction,4,2,upload,resources/upload/images/33282410011372442091659134908.jpg,NULL,upload,resources/upload/images/62136612216435323351659134913.jpg,NULL,"Website: <a href=https://www.anewdirection.org.uk/>A New Direction</a><p>Charity Type: Children and Young People<p>UK Registered Charity Number: 1126216<p><br><p>A New Direction is an award-winning non-profit organisation working to enhance the capacity and agency of children and young people in London to own their creativity, shape culture, and achieve their creative potential.",1,2022-06-29 23:48:42,2022-06-29 23:48:42
85,Coding Black Females,0,0,upload,resources/upload/images/175721964817218177981659382393.jpg,NULL,upload,resources/upload/images/201668960411753525671659382404.jpg,NULL,"Coding Black Females was created in 2017. We are a nonprofit organisation, and our primary aim is to provide opportunities for Black female developers to develop themselves, meet familiar faces, network, receive support and build relationships through having regular meetups.",1,2022-07-01 20:36:16,2022-07-01 20:36:16
86,The Kids Network,4,0,upload,resources/upload/images/55861007110723861711660830349.jpg,NULL,upload,resources/upload/images/8553594516876147181660830354.jpg,NULL,"Website: <a href=https://thekidsnetwork.org.uk/>The Kids Network</a><p>Charity Type: Children's Welfare<p>UK Registered Charity Number: 1167178<p><br>The Kids Network supports children at a crucial time in their lives, in the lead up to and often during the transition from primary into secondary school. We do this by providing them with a volunteer mentor, a local hero from their London community.",1,2022-07-18 14:46:50,2022-07-18 14:46:50
87,Black Cultural Archives,4,0,upload,resources/upload/images/2094176737719507411661030298.png,NULL,upload,resources/upload/images/21166477003100873061661030308.jpg,NULL,"Website: <a href=https://blackculturalarchives.org/>Black Cultural Archives</a><p>Charity Type: Black History<p>UK Registered Charity Number: 1051087<p><br>Black Cultural Archives is the home of Black British History.<br><br>They use their mission to collect, preserve and celebrate the histories of people of African and Caribbean descent in the UK and to inspire and give strength to individuals, communities and society<br><br>Black Cultural Archives grew from a community response to the New Cross Massacre (1981), the Police and Criminal Evidence Act (1984); underachievement of Black children in British schools, the failings of the Race Relations Act 1976, and the negative impacts of racism against, and a lack of popular recognition of, and representation by people of African and Caribbean descent in the UK.  <br><br>Their founders, including the iconic Len Garrison, concluded that what was needed was a space where members of the community, especially young people, could come and find positive representations of themselves in history and culture. This act of self-help expanded into the creation of what their founders called an 'archive museum' that evidenced and painted a more comprehensive picture of Black presence in Britain.",1,2022-07-20 22:18:41,2022-07-20 22:18:41
88,Black Girls Travel Club London,4,6,upload,resources/upload/images/13316137257037943341661167019.png,NULL,upload,resources/upload/images/28183122718635800231661167013.png,NULL,"Website: <a href=https://msha.ke/blackgirlstravelclubldn/>Black Girls Travel Club London</a><p>Organisation Type: Non-Profit Community Group<p><br>We are a London based community of black girls in our 20s passionate about travel and connecting with like minded people. Black girls travel club LDN hosts meet-ups, trips in the UK and all over the world throughout the year for members. We look forward to seeing you at our future events or trips.",1,2022-07-22 12:17:44,2022-07-22 12:17:44
89,Kick It Out,0,2,upload,resources/upload/images/119277461516096893961661181905.jpeg,NULL,upload,resources/upload/images/6473941993047871551661181915.jpeg,NULL,"Website: <a href=https://www.kickitout.org/>Kick It Out</a><p>Charity Type: Anti-Discrimination<p>UK Registered Charity Number: 1051087<p><br>Driven forward by our love of sport, we’re here to fight discrimination. We’re here to make sure football is a game for everyone – and that means putting equality and inclusion up front.",1,2022-07-22 16:28:06,2022-07-22 16:28:06
90,Urban Lawyers,0,2,upload,resources/upload/images/116603517418593412411661946220.jpg,NULL,upload,resources/upload/images/14265526377167346061661946226.jpg,NULL,"Website: <a href=https://urbanlawyers.co.uk//>Urban Lawyers</a><p>Charity Type: Legal Education<p>UK Registered Charity Number: 1165914<p><br>Urban Lawyers is a charity founded by Dr Tunde Okewale MBE, Barrister at Doughty Street Chambers.<p>The Charity works to make the law (in its academic, practical and career contexts) more accessible to marginalised groups in society.",1,2022-07-31 12:43:56,2022-07-31 12:43:56
92,ACLT,4,2,upload,resources/upload/images/203683929916498237141669039845.jpeg,NULL,upload,resources/upload/images/96869484512564690671669039850.jpeg,NULL,"Website: <a href=https://urbanlawyers.co.uk//>Urban Lawyers</a><p>Charity Type: Legal Education<p>UK Registered Charity Number: 1165914<p><br>The African Caribbean Leukaemia Trust is a charity committed to helping provide hope to patients living with blood cancer and other illnesses where a matched donor is required to save a life. <p>",1,2022-10-21 14:11:08,2022-10-21 14:11:08
